,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-ademamix,Python
50,ml-afv,Python
51,ml-agm,Python
52,ml-aim,Python
53,ml-all-pairs,Python
54,ml-ane-transformers,Python
55,ml-aspanformer,Python
56,ml-aura,Python
57,ml-autofocusformer,Python
58,ml-autofocusformer-segmentation,Python
59,ml-batchquant,Python
60,ml-behavioral-testing-for-mt,
61,ml-bilevel-train-dist,Python
62,ml-calibration,Jupyter Notebook
63,ml-capsules-inverted-attention-routing,Python
64,ml-cifar-10-faster,Python
65,ml-code-switched-speech-translation,Python
66,ml-codeswitching-translations,
67,ml-collegial-ensembles,Python
68,ml-compress-and-compare,Python
69,ml-core,Python
70,ml-covid-mobility,R
71,ml-cread,Python
72,ml-cvnets,Python
73,ml-cvpr2019-swd,Python
74,ml-dab,Python
75,ml-data-parameters,Python
76,ml-delphi,
77,ml-depth-pro,Python
78,ml-destseg,Python
79,ml-diffusion-alignment-gflownet,Python
80,ml-direct2.5,Python
81,ml-dms-dataset,Python
82,ml-dprecs,Jupyter Notebook
83,ml-dr,Python
84,ml-duet,Python
85,ml-entity-deduction-arena,Python
86,ml-entropy-reconstruction,Python
87,ml-envmapnet,Python
88,ml-equivariant-neural-rendering,Jupyter Notebook
89,ml-facelit,Python
90,ml-famae,Python
91,ml-fastvit,Python
92,ml-fct,Python
93,ml-ferret,Python
94,ml-finerecon,Python
95,ml-flair,Jupyter Notebook
96,ml-gaudi,
97,ml-gendered-translation,Ruby
98,ml-gmpi,Python
99,ml-gsn,Python
100,ml-hd-gist,Python
101,ml-heart-rate-models,Python
102,ml-hierarchical-confusion-matrix,TypeScript
103,ml-hugs,Python
104,ml-hypercloning,Python
105,ml-hypersim,Python
106,ml-interspeech2022-phi_rtn,
107,ml-jointnet,Python
108,ml-key-retrieval-code-tasks,Python
109,ml-keyframer,JavaScript
110,ml-kge,Python
111,ml-knowledge-conflicts,Python
112,ml-live-pose,
113,ml-llarp,Python
114,ml-lucid-datagen,Python
115,ml-mad-bench,Jupyter Notebook
116,ml-mcf,Python
117,ml-mdm,Python
118,ml-mgie,Python
119,ml-mia-bench,Jupyter Notebook
120,ml-MixupMP,Python
121,ml-mkqa,Python
122,ml-mobileclip,Python
123,ml-mobileone,Swift
124,ml-mofi,Python
125,ml-multiple-futures-prediction,Python
126,ml-mycelium,JavaScript
127,ml-ncg,Python
128,ml-negative-sampling,Python
129,ml-neilf,Python
130,ml-neilfpp,Python
131,ml-neuman,Python
132,ml-no-token-left-behind,Jupyter Notebook
133,ml-np-rasp,Python
134,ml-nvas3d,Python
135,ml-ogen,Python
136,ml-pgdvs,Python
137,ml-planner,Python
138,ml-pointconvformer,Python
139,ml-pointersect,Python
140,ml-probabilistic-attention,Python
141,ml-projunit,Python
142,ml-qrecc,Python
143,ml-quant,Python
144,ml-recurrent-drafter,Python
145,ml-reed,Python
146,ml-rlgrad,Python
147,ml-robust-expert-augmentations,Python
148,ml-rpm-bench,Python
149,ml-sad,Python
150,ml-sampleplan,Python
151,ml-selfcond,Python
152,ml-shuffling-amplification,Python
153,ml-sigma-reparam,Python
154,ml-sigmoid-attention,Python
155,ml-slowfast-llava,Python
156,ml-spatial-librispeech,
157,ml-spin,Python
158,ml-stable-diffusion,Python
159,ml-stabledreamer,
160,ml-stuttering-events-dataset,Python
161,ml-superposition-prompting,Python
162,ml-symphony,Svelte
163,ml-tic-clip,Python
164,ml-toad,Python
165,ml-tract,Python
166,ml-transcript-translation-consistency-ratings,
167,ml-translate-vis,TypeScript
168,ml-tree-dst,Python
169,ml-tune-mode-convbn,Python
170,ml-tweak,Python
171,ml-upscale,Jupyter Notebook
172,ml-uwac,Python
173,ml-veclip,Jupyter Notebook
174,ml-vfi-smiff,Python
175,ml-vfm-kt,
176,ml-vision-transformers-ane,Python
177,music-feed-examples,Java
178,openjdk,Java
179,password-manager-resources,JavaScript
180,pfl-research,Jupyter Notebook
181,pkl,Java
182,pkl-evolution,
183,pkl-go,Go
184,pkl-go-examples,Go
185,pkl-intellij,Kotlin
186,pkl-jvm-examples,Groovy
187,pkl-k8s,Pkl
188,pkl-k8s-examples,
189,pkl-lang.org,JavaScript
190,pkl-lsp,Kotlin
191,pkl-neovim,Scheme
192,pkl-package-docs,Kotlin
193,pkl-pantry,Pkl
194,pkl-project-commons,
195,pkl-spring,Java
196,pkl-swift,Swift
197,pkl-swift-examples,Swift
198,pkl-vscode,TypeScript
199,pkl.tmbundle,
200,pytorch-speech-features,Python
201,rules_pkl,Starlark
202,sample-backyard-birds,Swift
203,sample-cloudkit-coredatasync,Swift
204,sample-cloudkit-encryption,Swift
205,sample-cloudkit-privatedb,Swift
206,sample-cloudkit-privatedb-sync,Swift
207,sample-cloudkit-queries,Swift
208,sample-cloudkit-sharing,Swift
209,sample-cloudkit-sync-engine,Swift
210,sample-cloudkit-tooling,JavaScript
211,sample-cloudkit-zonesharing,Swift
212,sample-food-truck,Swift
213,security-pcc,Swift
214,servicetalk,Java
215,swift-3-api-guidelines-review,Swift
216,swift-algorithms,Swift
217,swift-aoc-starter-example,Swift
218,swift-argument-parser,Swift
219,swift-asn1,Swift
220,swift-async-algorithms,Swift
221,swift-async-dns-resolver,Swift
222,swift-atomics,Swift
223,swift-cassandra-client,Swift
224,swift-certificates,Swift
225,swift-clang,C++
226,swift-clang-tools-extra,C++
227,swift-cluster-membership,Swift
228,swift-cmake-examples,CMake
229,swift-collections,Swift
230,swift-collections-benchmark,Swift
231,swift-compiler-rt,C
232,swift-container-plugin,Swift
233,swift-crypto,C
234,swift-distributed-actors,Swift
235,swift-distributed-tracing,Swift
236,swift-distributed-tracing-baggage-core,Swift
237,swift-distributed-tracing-extras,Swift
238,swift-embedded-examples,Swift
239,swift-evolution-staging,Swift
240,swift-for-wasm-examples,Swift
241,swift-getting-started-cli,Swift
242,swift-getting-started-package-library,Swift
243,swift-homomorphic-encryption,Swift
244,swift-homomorphic-encryption-protobuf,
245,swift-http-structured-headers,Swift
246,swift-http-types,Swift
247,swift-internals,HTML
248,swift-issues,
249,swift-libcxx,C++
250,swift-llbuild2,Swift
251,swift-lldb,C++
252,swift-llvm,LLVM
253,swift-log,Swift
254,swift-matter-examples,Swift
255,swift-metrics,Swift
256,swift-metrics-extras,Swift
257,swift-migration-guide,Markdown
258,swift-mmio,Swift
259,swift-nio,Swift
260,swift-nio-examples,Swift
261,swift-nio-extras,Swift
262,swift-nio-http2,Swift
263,swift-nio-imap,Swift
264,swift-nio-nghttp2-support,Swift
265,swift-nio-oblivious-http,Swift
266,swift-nio-ssh,Swift
267,swift-nio-ssl,C
268,swift-nio-ssl-support,Swift
269,swift-nio-transport-services,Swift
270,swift-nio-zlib-support,Swift
271,swift-numerics,Swift
272,swift-openapi-generator,Swift
273,swift-openapi-runtime,Swift
274,swift-openapi-urlsession,Swift
275,swift-playdate-examples,Swift
276,swift-protobuf,Swift
277,swift-protobuf-plugin,
278,swift-protobuf-test-conformance,
279,swift-sample-distributed-actors-transport,Swift
280,swift-service-context,Swift
281,swift-service-discovery,Swift
282,swift-standard-library-preview,Swift
283,swift-statsd-client,Swift
284,swift-string-processing-benchmarks,Swift
285,swift-system,Swift
286,swift-tools-support-async,Swift
287,swift-xcode-playground-support,Swift
288,swiftpm-on-llbuild2,Swift
289,tensor-visualizer,Svelte
290,tensorflow_macos,Shell
291,ToolSandbox,Python
292,tree-sitter-pkl,C
293,turicreate,C++
294,unityplugins,C#
295,VideoFlashingReduction,Mathematica
296,vqg-multimodal-assistant,Python
